step,continuous_running,static_running
0,32,32
1,32,32
2,32,32
3,32,32
4,32,32
5,32,32
6,32,32
7,32,32
8,32,32
9,32,32
10,32,32
11,32,32
12,32,32
13,32,32
14,32,32
15,32,32
16,32,32
17,32,32
18,32,32
19,32,32
20,32,32
21,32,32
22,32,32
23,32,32
24,32,32
25,32,32
26,32,32
27,32,32
28,32,32
29,32,32
30,32,32
31,32,32
32,32,31
33,32,31
34,32,31
35,32,31
36,32,31
37,32,31
38,32,31
39,32,31
40,32,31
41,32,31
42,32,31
43,32,31
44,32,30
45,32,30
46,32,29
47,32,29
48,32,29
49,32,28
50,32,27
51,32,27
52,32,26
53,32,26
54,32,26
55,32,26
56,32,26
57,32,25
58,32,24
59,32,24
60,32,24
61,32,24
62,32,24
63,32,24
64,32,24
65,32,24
66,32,24
67,32,24
68,32,24
69,32,22
70,32,22
71,32,22
72,32,22
73,32,22
74,32,22
75,32,22
76,32,22
77,32,21
78,32,21
79,32,20
80,32,20
81,32,20
82,32,20
83,32,20
84,32,20
85,32,20
86,32,20
87,32,19
88,32,19
89,32,19
90,32,19
91,32,18
92,32,18
93,32,17
94,32,17
95,32,17
96,32,17
97,32,17
98,32,17
99,32,17
100,32,17
101,32,16
102,32,15
103,32,15
104,32,14
105,32,14
106,32,13
107,32,13
108,32,13
109,32,13
110,32,13
111,32,13
112,32,13
113,32,13
114,32,12
115,32,11
116,32,11
117,32,11
118,32,10
119,32,10
120,32,10
121,32,9
122,32,8
123,32,6
124,32,5
125,32,5
126,32,5
127,32,4
128,32,4
129,32,4
130,32,4
131,32,4
132,32,4
133,32,4
134,32,4
135,32,4
136,32,4
137,32,4
138,32,4
139,32,4
140,32,4
141,32,4
142,32,4
143,32,4
144,32,4
145,32,4
146,32,4
147,32,4
148,32,4
149,32,4
150,32,4
151,32,4
152,32,4
153,32,4
154,32,4
155,32,4
156,32,4
157,32,4
158,32,4
159,32,4
160,32,4
161,32,4
162,32,4
163,32,4
164,32,4
165,32,4
166,32,4
167,32,4
168,32,4
169,32,4
170,32,4
171,32,4
172,32,4
173,32,4
174,32,4
175,32,4
176,32,4
177,32,4
178,32,4
179,32,4
180,32,4
181,32,4
182,32,4
183,32,4
184,32,4
185,32,4
186,32,4
187,32,4
188,32,4
189,32,4
190,32,4
191,32,4
192,32,4
193,32,4
194,32,4
195,32,4
196,32,4
197,32,4
198,32,4
199,32,4
200,32,4
201,32,4
202,32,4
203,32,4
204,32,4
205,32,4
206,32,4
207,32,4
208,32,4
209,32,4
210,32,4
211,32,4
212,32,4
213,32,4
214,32,4
215,32,4
216,32,4
217,32,4
218,32,4
219,32,4
220,32,4
221,32,4
222,32,4
223,32,4
224,32,4
225,32,4
226,32,4
227,32,4
228,32,4
229,32,4
230,32,4
231,32,4
232,32,4
233,32,4
234,32,4
235,32,4
236,32,4
237,32,4
238,32,4
239,32,4
240,32,4
241,32,4
242,32,4
243,32,4
244,32,4
245,32,4
246,32,4
247,32,4
248,32,4
249,32,4
250,32,4
251,32,4
252,32,4
253,32,4
254,32,4
255,32,4
256,32,4
257,32,4
258,32,3
259,32,3
260,32,3
261,32,3
262,32,3
263,32,3
264,32,3
265,32,3
266,32,3
267,32,3
268,32,3
269,32,3
270,32,3
271,32,3
272,32,3
273,32,3
274,32,3
275,32,3
276,32,3
277,32,2
278,32,2
279,32,2
280,32,2
281,32,2
282,32,2
283,32,2
284,32,2
285,32,2
286,32,2
287,32,2
288,32,2
289,32,2
290,32,2
291,32,2
292,32,2
293,32,2
294,32,2
295,32,2
296,32,2
297,32,2
298,32,2
299,32,2
300,32,2
301,32,2
302,32,2
303,32,2
304,32,2
305,32,2
306,32,2
307,32,2
308,32,2
309,32,2
310,32,2
311,32,2
312,32,2
313,32,2
314,32,2
315,32,2
316,32,2
317,32,2
318,32,2
319,32,2
320,32,2
321,32,2
322,32,2
323,32,2
324,32,2
325,32,2
326,32,2
327,32,2
328,32,2
329,32,2
330,32,2
331,32,2
332,32,2
333,32,2
334,32,2
335,32,2
336,32,2
337,32,2
338,32,2
339,32,2
340,32,2
341,32,2
342,32,2
343,32,2
344,32,2
345,32,2
346,32,2
347,32,2
348,32,2
349,32,2
350,32,2
351,32,2
352,32,2
353,32,2
354,32,2
355,32,2
356,32,2
357,32,2
358,32,2
359,32,2
360,32,2
361,32,2
362,32,2
363,32,2
364,32,2
365,32,2
366,32,2
367,32,2
368,32,2
369,32,2
370,32,2
371,32,2
372,32,1
373,32,1
374,32,1
375,32,1
376,32,1
377,32,1
378,32,32
379,32,32
380,32,32
381,32,32
382,32,32
383,32,32
384,32,32
385,32,32
