pool_blocks,pool_mib,frac_of_peak,makespan_rounds,throughput_tok_per_round,mean_batch,preemptions,completed,failed
1508,282.75,2,1296,24.4113,24.4113,0,256,0
1131,212.062,1.5,1296,24.4113,24.4113,0,256,0
905,169.688,1.2,1296,24.4113,24.4113,0,256,0
754,141.375,1,1296,24.4113,24.4113,0,256,0
641,120.188,0.85,1338,23.645,23.6203,35,256,0
528,99,0.7,1368,23.1265,23.0899,54,256,0
452,84.75,0.6,1512,20.9239,20.8585,110,256,0
377,70.6875,0.5,1737,18.2142,18.11,200,256,0
302,56.625,0.4,2027,15.6078,15.5032,225,256,0
226,42.375,0.3,2761,11.4589,11.3731,255,256,0
189,35.4375,0.25,3324,9.51805,9.44194,261,256,0
151,28.3125,0.2,4126,7.66772,7.60906,261,256,0
113,21.1875,0.15,5555,5.69523,5.65113,260,256,0
90,16.875,0.12,7461,4.24045,4.21003,236,256,0
75,14.0625,0.1,9430,3.35504,3.32916,257,256,0
60,11.25,0.08,11781,2.68551,2.66624,238,256,0
45,8.4375,0.06,13337,2.25995,2.24346,230,239,17
30,5.625,0.04,12064,2.00688,1.98972,212,225,31
